ReporterISO3,PartnerISO3,Year,120810 in 1000 USD 
GHA,AUS,2013,0.021
LKA,IND,2020,0.021
ZAF,UGA,2016,0.021
CHE,ESP,2021,0.022
CHE,NLD,2019,0.022
CIV,CAN,2020,0.022
ESP,GIB,2007,0.022
EUN,KGZ,2019,0.022
IND,GMB,2018,0.022
IRL,CYP,2022,0.022
LVA,LTU,2015,0.022
NLD,CZE,2018,0.022
NLD,LTU,2016,0.022
POL,EST,2021,0.022
POL,ROM,2010,0.022
ZAF,NZL,2010,0.022
BRA,JPN,2022,0.023
CAN,CHN,2014,0.023
CHE,ESP,2004,0.023
CHE,ESP,2005,0.023
COL,NLD,2003,0.023
DEU,HRV,2015,0.023
EUN,MKD,2022,0.023
FIN,EST,2014,0.023
IND,JAM,2018,0.023
IND,LBR,2019,0.023
KEN,UGA,2021,0.023
LTU,KGZ,2019,0.023
RUS,KGZ,2020,0.023
RUS,MNG,2021,0.023
THA,MMR,2020,0.023
THA,SGP,2021,0.023
TUN,ITA,2016,0.023
ARE,LBR,2019,0.024
DEU,HUN,2021,0.024
DNK,UNS,1998,0.024
EUN,MKD,2015,0.024
EUN,MKD,2016,0.024
FIN,RUS,2001,0.024
GBR,BGR,2015,0.024
IND,DNK,2002,0.024
NLD,LUX,2017,0.024
SVN,MKD,2016,0.024
AUT,BIH,2005,0.025
BEL,MRT,2014,0.025
CHE,GBR,2012,0.025
CHE,NLD,2007,0.025
CHN,FRA,2005,0.025
CRI,GTM,2021,0.025
CZE,HRV,2001,0.025
DNK,IRL,2014,0.025
EUN,FRO,2004,0.025
EUN,MRT,2014,0.025
FIN,MDA,2000,0.025
