Id,Label,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,eigencentrality,clustering
MAC,Macao,6,0,6,145.115,0,145.115,0,0,0,0,0.023287,0,0.005092,0,23,0.150151,0.433333
PRK,,4,0,4,431.506,0,431.506,0,0,0,0,0.022402,0,0.003331,0,25,0.120674,0.5
CAF,,3,0,3,530.549,0,530.549,0,0,0,0,0.011271,0,0.006768,0,67,0.040179,0.333333
ABW,,6,0,6,18.539,0,18.539,0,0,0,0,0.047477,0,0.003346,0,58,0.127961,0.5
CUW,Cura�ao,2,0,2,0.686,0,0.686,0,0,0,0,0.013002,0,0.002834,0,57,0.036371,0
CRI,Costa Rica,7,3,10,45037.026,18.408,45055.434,4,0.40038,0.422591,3.691173,0.042508,0.010257,0.003711,0,101,0.145318,0.428571
LVA,Latvia,13,4,17,1505.433,1730.402,3235.835,4,0.372792,0.39613,26.668672,0.074807,0.017404,0.005465,0,101,0.431962,0.679487
ISL,Iceland,5,0,5,1833.101,0,1833.101,0,0,0,0,0.038095,0,0.002745,0,72,0.143551,0.5
KAZ,Kazakhstan,6,0,6,460.618,0,460.618,0,0,0,0,0.044266,0,0.003319,0,73,0.133519,0.466667
MDG,Madagascar,6,1,7,183.937,0.777,184.714,4,0.349917,0.369273,0.20202,0.052994,0.006817,0.002977,0,101,0.204874,0.6
MMR,Myanmar,8,8,16,130400.847,3191.207,133592.054,3,0.427126,0.455766,7.962267,0.059626,0.039577,0.003528,0,101,0.236093,0.590909
ZMB,Zambia,9,14,23,1988.559,71316.863,73305.422,4,0.376114,0.415482,386.867665,0.046014,0.027663,0.008766,0,101,0.16205,0.254386
HTI,Haiti,3,0,3,650.799,0,650.799,0,0,0,0,0.0151,0,0.003376,0,53,0.06037,0.666667
ECU,Ecuador,1,6,7,51955.827,6.393,51962.22,4,0.422846,0.449447,0.643253,0.011879,0.033336,0.002096,0,101,0.045346,0.633333
KEN,Kenya,16,16,32,21670.339,3027.57,24697.909,4,0.450855,0.489731,430.698755,0.083516,0.041849,0.006213,0,101,0.289035,0.233846
PSE,,1,2,3,0.693,0.748,1.441,4,0.40499,0.425355,6.346375,0.001295,0.01226,0.002255,0,101,0.018787,0.333333
SUD,Sudan,4,0,4,1423.512,0,1423.512,0,0,0,0,0.018896,0,0.00283,0,26,0.084497,0.083333
YEM,Yemen,4,0,4,494.225,0,494.225,0,0,0,0,0.028691,0,0.002808,0,3,0.103629,0.666667
ETH,Ethiopia,7,15,22,12.59,27554.729,27567.319,3,0.475225,0.506319,38.850961,0.048734,0.075845,0.003516,0,101,0.157593,0.405229
GIB,Gibraltar,2,0,2,7.672,0,7.672,0,0,0,0,0.015469,0,0.002217,0,75,0.040585,0
GNQ,,3,0,3,67.915,0,67.915,0,0,0,0,0.028277,0,0.00229,0,74,0.069191,0.333333
EUN,European Union,0,101,101,0,247031.704,247031.704,3,0.64939,0.734742,0,0,0.261609,0.001918,0,103,0,0.061386
ALB,Albania,5,0,5,450.216,0,450.216,0,0,0,0,0.036752,0,0.002793,0,65,0.110505,0.45
ARM,Armenia,5,0,5,23.786,0,23.786,0,0,0,0,0.034253,0,0.003121,0,80,0.104675,0.45
ASM,,4,0,4,6.032,0,6.032,0,0,0,0,0.021821,0,0.002783,0,76,0.086402,0.416667
BMU,,2,0,2,0.068,0,0.068,0,0,0,0,0.019317,0,0.002097,0,93,0.038702,0
GNB,Guinea-Bissau,3,0,3,51.312,0,51.312,0,0,0,0,0.011385,0,0.00366,0,21,0.045164,0.166667
KGZ,Kyrgyzstan,3,0,3,2.173,0,2.173,0,0,0,0,0.012912,0,0.002867,0,45,0.044815,0.333333
LBY,Libya,5,0,5,1273.285,0,1273.285,0,0,0,0,0.026863,0,0.003969,0,9,0.076818,0.3
MOZ,Mozambique,7,4,11,937.164,2938.91,3876.074,4,0.408124,0.432859,49.490913,0.034708,0.013095,0.003874,0,101,0.125087,0.377778
