International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index"
MSR,65.79,67.68,73.19,74.53,74.22,74.44,80.66,83.22,84.83,91.19,96.98,98.42,100.03,103.99,100.00,108.81,104.71,93.25,90.10,96.03,98.47,94.89,93.07,90.65,98.61,101.76,
MAR,99.47,99.74,99.42,99.60,98.30,99.68,100.23,100.09,100.24,100.21,100.57,102.59,103.52,99.18,100.00,98.35,99.40,100.33,99.03,102.18,99.99,98.97,99.96,99.84,99.18,102.25,
MMR,,,14.17,18.19,20.20,23.10,31.60,40.60,44.32,49.65,59.76,73.26,86.11,93.78,100.00,109.54,118.39,122.83,126.65,131.90,133.35,140.51,148.17,157.45,166.86,174.27,
NAM,,,,,,,,,,,,81.39,90.27,96.56,100.00,103.81,117.18,121.31,131.30,136.38,147.24,161.85,169.01,170.58,178.32,181.41,
NRU,,,,,,,,,101.01,97.22,82.54,79.56,94.28,123.46,100.00,112.79,142.10,111.11,104.25,91.71,116.65,130.98,136.23,141.34,143.94,148.98,
NPL,39.83,42.64,44.42,48.34,50.54,51.86,53.90,55.55,57.87,61.41,65.93,70.94,74.93,86.85,100.00,110.81,119.41,127.86,138.14,144.23,154.54,167.31,174.59,182.79,188.67,199.07,
NLD,73.76,75.71,77.28,78.28,80.95,84.34,87.52,89.42,90.50,92.30,94.66,96.62,98.85,99.07,100.00,100.19,101.64,102.94,103.20,104.00,104.47,105.79,108.37,111.66,113.81,116.68,122.97
NZL,73.71,73.96,74.80,75.08,76.84,80.08,80.63,81.73,84.51,86.71,88.86,92.77,96.31,97.18,100.00,102.89,102.58,106.00,108.39,108.75,110.72,114.23,115.86,118.67,121.24,124.72,131.77
NIC,31.06,34.09,38.88,42.46,46.10,49.44,51.05,53.77,58.63,64.42,69.72,76.47,88.85,94.22,100.00,110.21,117.10,122.19,132.44,142.49,149.03,155.18,159.31,168.08,177.94,183.21,
NER,,,,,,,,,,79.46,81.23,88.01,93.96,97.87,100.00,103.82,106.51,108.56,108.49,110.17,112.14,112.56,115.01,115.47,116.57,120.21,
