Id,Label,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering,Authority,Hub,componentnumber,strongcompnum,eigencentrality,period,network
MKD,North Macedonia,11,10,21,2750.77,22.73,2773.5,4,0.442886,0.472851,29.52068,0.003716,0.429825,0.040643,0.027329,0,89,0.218023,2,1201
BEN,Benin,8,25,33,207.715,41365.921,41573.636,4,0.498871,0.53733,8.348161,0.002499,0.487685,0.041625,0.077388,0,89,0.154548,2,1201
LKA,Sri Lanka,14,28,42,22152.048,1723.421,23875.469,3,0.496629,0.53997,43.012181,0.003329,0.347795,0.053497,0.086499,0,89,0.20487,2,1201
MMR,Myanmar,11,20,31,61722.506,22729.259,84451.765,3,0.493304,0.525641,11.71144,0.002922,0.467236,0.046206,0.063245,0,89,0.169707,2,1201
TGO,Togo,9,22,31,4611.767,75949.763,80561.53,4,0.511574,0.541101,61.819649,0.002807,0.481884,0.039738,0.064598,0,89,0.154478,2,1201
BFA,Burkina Faso,4,11,15,60.048,23029.525,23089.573,4,0.464286,0.491327,3.508067,0.002369,0.628788,0.007201,0.030215,0,89,0.043913,2,1201
CIV,Cote d'Ivoire,11,16,27,668.58,924.849,1593.429,4,0.481481,0.511689,88.190827,0.004642,0.321429,0.034604,0.044007,0,89,0.150267,2,1201
ETH,Ethiopia,5,42,47,257.231,278562.516,278819.747,3,0.544335,0.590498,253.478279,0.005839,0.352713,0.020908,0.124384,0,89,0.105928,2,1201
FRE,Free Zones,2,0,2,6469758.164,0,6469758.164,0,0,0,0,0.003707,0,0.00376,0,0,72,0.017096,2,1201
BLZ,,2,3,5,312.643,30.18,342.823,4,0.408503,0.430618,0.642857,0.002341,0.5,0.007196,0.005784,0,89,0.042663,2,1201
HND,Honduras,5,3,8,10835.993,1.591,10837.584,4,0.425819,0.44721,10.894579,0.004238,0.466667,0.008001,0.010831,0,89,0.056487,2,1201
JAM,Jamaica,4,4,8,28905.546,8.347,28913.893,7,0.190189,0.205139,7.008756,0.002633,0.285714,0.020155,0.003059,0,89,0.087808,2,1201
ECU,Ecuador,4,5,9,60365.291,88.318,60453.609,4,0.441118,0.463424,5.062576,0.002369,0.535714,0.009725,0.021146,0,89,0.051157,2,1201
BHS,"Bahamas, The",6,0,6,5614.717,0,5614.717,0,0,0,0,0.002289,0.766667,0.034572,0,0,59,0.145667,2,1201
