Id,Label,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,clustering,eigencentrality,componentnumber,strongcompnum
HRV,Croatia,9,7,16,8166.587,108.279,8274.866,4,0.377897,0.408412,23.027798,0.073861,0.027039,0.004177,0.424242,0.276268,0,107
HTI,Haiti,4,0,4,1064.026,0,1064.026,0,0,0,0,0.018712,0,0.00315,0.333333,0.071301,0,18
HUN,Hungary,17,13,30,608696.914,3502.87,612199.784,4,0.388991,0.429245,153.78021,0.115492,0.061202,0.009782,0.478571,0.641225,0,107
IDN,Indonesia,15,10,25,239564.958,482.858,240047.816,4,0.41165,0.444575,75.976144,0.111222,0.045993,0.00576,0.453216,0.486975,0,107
IND,India,17,77,94,1388.229,64793.305,66181.534,3,0.597183,0.675314,2027.135935,0.106096,0.265818,0.009256,0.103006,0.522201,0,107
IOT,British Indian Ocean Ter.,1,0,1,14.566,0,14.566,0,0,0,0,0.004147,0,0.002217,0,0.029135,0,100
IRL,Ireland,12,4,16,46634.294,5653.461,52287.755,4,0.362393,0.386006,7.329834,0.110434,0.021656,0.004184,0.620879,0.485864,0,107
IRN,"Iran, Islamic Rep.",12,7,19,835.406,62.724,898.13,6,0.232456,0.261085,108.883716,0.090968,0.008979,0.005499,0.225146,0.372842,0,107
IRQ,Iraq,5,0,5,1985.635,0,1985.635,0,0,0,0,0.028661,0,0.003416,0.45,0.138203,0,47
ISL,Iceland,7,0,7,970.069,0,970.069,0,0,0,0,0.070093,0,0.003152,0.595238,0.242996,0,52
ISR,Israel,14,23,37,27021.364,2580,29601.364,3,0.490741,0.529874,157.787886,0.127404,0.112559,0.004678,0.390212,0.526865,0,107
ITA,Italy,25,30,55,44355.308,74168.511,118523.819,3,0.495327,0.544025,874.294203,0.156505,0.149229,0.010386,0.271795,0.768095,0,107
